,song,artist
0,easy on me,adele
1,stay,the kid laroi & justin bieber
2,industry baby,lil nas x & jack harlow
3,all too well (taylor's version),taylor swift
4,oh my god,adele
5,shivers,ed sheeran
6,heat waves,glass animals
7,bad habits,ed sheeran
8,need to know,doja cat
9,smokin out the window,silk sonic (bruno mars & anderson .paak)
10,cold heart (pnau remix),elton john & dua lipa
11,all i want for christmas is you,mariah carey
12,fancy like,walker hayes
13,rockin' around the christmas tree,brenda lee
14,good 4 u,olivia rodrigo
15,essence,wizkid featuring justin bieber & tems
16,way 2 sexy,drake featuring future & young thug
17,i drink wine,adele
18,you right,doja cat & the weeknd
19,jingle bell rock,bobby helms
20,one right now,post malone & the weeknd
21,beggin',maneskin
22,my little love,adele
23,levitating,dua lipa
24,kiss me more,doja cat featuring sza
25,can i get it,adele
26,a holly jolly christmas,burl ives
27,if i didn't love you,jason aldean & carrie underwood
28,my universe,coldplay x bts
29,it's the most wonderful time of the year,andy williams
30,save your tears,the weeknd & ariana grande
31,to be loved,adele
32,knife talk,drake featuring 21 savage & project pat
33,better days,neiked x mae muller x polo g
34,buy dirt,jordan davis featuring luke bryan
35,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
36,love nwantiti (ah ah ah),ckay
37,ghost,justin bieber
38,meet me at our spot,the anxiety: willow & tyler cole
39,last christmas,wham!
40,strangers by nature,adele
41,thats what i want,lil nas x
42,girls want girls,drake featuring lil baby
43,cry your heart out,adele
44,happier than ever,billie eilish
45,cold as you,luke combs
46,pepas,farruko
47,who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage"
48,hold on,adele
49,leave the door open,silk sonic (bruno mars & anderson .paak)
50,abcdefu,gayle
51,you should probably leave,chris stapleton
52,all night parking (interlude),adele with erroll garner
53,same boat,zac brown band
54,woman like me,adele
55,love is a game,adele
56,have mercy,chloe
57,wild side,normani featuring cardi b
58,one mississippi,kane brown
59,chosen,blxst & tyga featuring ty dolla $ign
60,already dead,juice wrld
61,sand in my boots,morgan wallen
62,super gremlin,kodak black
63,family ties,baby keem & kendrick lamar
64,gyalis,capella grey
65,no love,summer walker & sza
66,whiskey and rain,michael ray
67,bad man (smooth criminal),polo g
68,knowing you,kenny chesney
69,i bet you think about me (taylor's version) (from the vault),taylor swift featuring chris stapleton
70,sharing locations,meek mill featuring lil baby & lil durk
71,big energy,latto
72,god's country,state of mine & drew jacobs
73,message in a bottle (taylor's version) (from the vault),taylor swift
74,tequila little time,jon pardi
75,freedom was a highway,jimmie allen & brad paisley
76,'til you can't,cody johnson
77,fair trade,drake featuring travis scott
78,bubbly,young thug with drake & travis scott
79,woman,doja cat
80,sad girlz luv money,amaarae & moliy featuring kali uchis
81,doin' this,luke combs
82,for tonight,giveon
83,moth to a flame,swedish house mafia & the weeknd
84,enemy,imagine dragons x jid
85,red (taylor's version),taylor swift
86,memory i don't mess with,lee brice
87,state of grace (taylor's version),taylor swift
88,heart on fire,eric church
89,ex for a reason,summer walker & jt
90,poke it out,wale featuring j. cole
91,half of my hometown,kelsea ballerini featuring kenny chesney
92,volvi,aventura x bad bunny
93,maybach,42 dugg featuring future
94,baddest,"yung bleu, chris brown & 2 chainz"
95,too easy,gunna & future
96,escape plan,travis scott
97,who's in your head,jonas brothers
98,jugaste y sufri,eslabon armado featuring dannylux
99,take my breath,the weeknd
